                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    2.460000000E+02    7.685099840E+01    1.798466891E+01    2.548916817E+02    1.993449975E-11
    2.470000000E+02    4.081711471E+01    4.271340072E+01    3.725721359E+02    5.787212638E-22
    2.480000000E+02    6.818304062E+01    6.649093032E+01    2.421627998E+02    4.336852553E-10
    2.490000000E+02    3.835254908E+00    1.589357853E+01    6.429305077E+01    3.229686209E-02
    2.500000000E+02    4.383645356E+01    2.405731231E+01    2.554480553E+02    2.965098272E-11
    2.510000000E+02    3.708930314E+01    3.712926209E+01    3.996943951E+02    1.059270600E-25
    2.520000000E+02    7.776902318E+01    9.075671434E+01    3.496392727E+02    5.656378041E-20
    2.530000000E+02    7.183692455E+01    9.299711585E+01    2.167984486E+02    6.870977843E-09
    2.540000000E+02    1.819782308E-01    7.930918932E+01    2.928625345E+02    7.491306263E-16
    2.550000000E+02    5.505584478E+01    7.324886322E+01    4.068127275E+01    1.579315128E+00
    2.560000000E+02    7.867570519E+01    9.897357821E+01    2.901392877E+01    1.125483518E-01
    2.570000000E+02    2.706768215E+01    7.726196647E+01    2.492858171E+02    7.584959390E-11
    2.580000000E+02    7.680699229E+01    6.213787198E+01    3.139785767E+02    4.140803412E-16
    2.590000000E+02    2.518903315E+01    8.558192849E+01    3.967363596E+02    4.386474851E-25
    2.600000000E+02    1.885870248E+01    5.412305593E+01    3.284838438E+02    1.006269103E-17
    2.610000000E+02    1.001005247E+01    7.335267663E+01    2.641469240E+02    2.233028563E-12
    2.620000000E+02    2.117819935E+01    2.100080103E+01    1.928991437E+02    3.722759568E-07
    2.630000000E+02    9.074056149E+01    9.480540156E+01    3.009070158E+02    6.253544789E-16
    2.640000000E+02    7.880669236E+01    8.187285066E+01    3.491672516E+02    1.066824186E-19
    2.650000000E+02    5.331878662E+01    4.377016053E+00    1.861611128E+02    3.571806817E-07
    2.660000000E+02    1.947259009E+01    4.716509283E+01    2.123239756E+02    3.308699850E-08
    2.670000000E+02    2.870718837E+01    3.921384215E+01    1.605102271E+01    5.422932615E+00
    2.680000000E+02    8.378438950E+01    7.797265649E+01    2.433913946E+02    1.689031605E-10
    2.690000000E+02    4.066457450E+01    9.197052121E+01    3.508563280E+02    4.207818718E-20
    2.700000000E+02    4.260182083E+01    7.745769024E+01    3.807430744E+02    7.254224699E-23
    2.710000000E+02    4.379506409E+01    2.085901052E+01    1.685873628E+02    1.601395425E-05
    2.720000000E+02    6.965386868E+01    6.456089616E+01    3.797290564E+02    1.221590428E-22
    2.730000000E+02    2.142824382E+01    8.885117769E+01    3.462092161E+02    9.422943543E-20
    2.740000000E+02    9.951393008E+01    2.776061557E+00    1.287338734E+02    3.652455993E-06
    2.750000000E+02    3.962154686E+01    4.428012371E+01    2.423955917E+02    4.318112995E-10
    2.760000000E+02    8.516512513E+01    5.299302936E+01    1.462817669E+02    1.889467564E-04
    2.770000000E+02    9.364020228E+01    8.119258285E+01    4.391685426E+01    2.408965356E-01
    2.780000000E+02    2.511564493E+01    5.053394437E+01    1.619150877E+02    4.448701427E-05
